id,Hardness
10407,-531.8817365
10408,-530.9557812
10409,-531.0932502
10410,-531.1855342
10411,-531.242597
10412,-531.4607623
10413,-531.4993663
10414,-531.6382948
10415,-531.9310942
10416,-531.902669
10417,-531.9089444
10418,-532.0034746
10419,-532.1589703
10420,-532.3123934
10421,-532.6254064
10422,-532.7227599
10423,-532.6524451
10424,-532.8524111
10425,-532.9209847
10426,-532.9186295
10427,-533.1326757
10428,-533.5368296
10429,-533.3883047
10430,-533.4567521
10431,-533.7497166
10432,-533.6901536
10433,-533.7262956
10434,-533.9541077
10435,-534.0943692
10436,-534.1394235
10437,-534.2711735
10438,-534.3688055
10439,-534.4470073
10440,-534.6753801
10441,-534.8863156
10442,-534.8594993
10443,-534.9901248
10444,-535.0668039
10445,-535.1676952
10446,-535.4620484
10447,-535.3163041
10448,-535.4147191
10449,-535.6423948
10450,-535.7654303
10451,-536.0178111
10452,-535.8901807
10453,-535.9810478
10454,-536.1823315
10455,-536.2790897
10456,-536.4998388
10457,-536.7292876
10458,-536.5125545
10459,-537.2714124
10460,-536.9056693
10461,-536.9522552
10462,-537.0982877
10463,-537.149884
10464,-537.2612616
10465,-537.4105778
10466,-537.7368338
10467,-537.6270463
10468,-537.8726824
10469,-538.0124438
10470,-537.9497975
10471,-538.042006
10472,-538.2706903
10473,-538.3482061
10474,-538.3991579
10475,-538.5558134
10476,-538.667443
10477,-538.7308784
10478,-538.8046942
10479,-538.9174918
10480,-539.5148938
10481,-539.3019786
10482,-539.3452529
10483,-539.4324906
10484,-539.9189196
10485,-539.6419876
10486,-539.8933236
10487,-539.9273061
10488,-540.0500039
10489,-540.1237299
10490,-540.2114718
10491,-540.4091135
10492,-540.3856581
10493,-540.6088045
10494,-540.75328
10495,-540.7581174
10496,-540.9401684
10497,-541.0645305
10498,-541.1698977
10499,-541.235071
10500,-541.3218873
10501,-541.5085073
10502,-541.4990012
10503,-541.6694912
10504,-541.8213529
10505,-541.9385527
10506,-542.2491955
10507,-542.1583786
10508,-542.3226429
10509,-542.3995963
10510,-542.4257795
10511,-542.6413511
10512,-542.8615692
10513,-542.9487992
10514,-542.9961766
10515,-544.1564352
10516,-543.0956981
10517,-543.1958916
10518,-543.3720571
10519,-543.6513361
10520,-543.5497804
10521,-543.8251824
10522,-543.8423162
10523,-543.9843547
10524,-544.2067064
10525,-544.1840193
10526,-544.4899016
10527,-544.3803431
10528,-544.5500525
10529,-544.5801503
10530,-544.7733248
10531,-544.8254463
10532,-545.5363564
10533,-545.0090288
10534,-545.0886661
10535,-545.2482173
10536,-545.3995915
10537,-545.4337322
10538,-545.5668743
10539,-545.7706361
10540,-545.8406128
10541,-546.024442
10542,-546.0232092
10543,-546.344031
10544,-546.3110814
10545,-546.4676998
10546,-546.5550908
10547,-546.6752884
10548,-546.749384
10549,-546.9075452
10550,-547.2907481
10551,-547.243583
10552,-547.1977297
10553,-547.2211585
10554,-547.3510397
10555,-547.5292807
10556,-547.626253
10557,-547.8931568
10558,-547.834453
10559,-548.2479368
10560,-548.0003025
10561,-548.1885513
10562,-548.3334832
10563,-548.3526064
10564,-548.4913325
10565,-548.6445908
10566,-548.6993219
10567,-548.9924073
10568,-549.0764356
10569,-549.0310497
10570,-549.216969
10571,-549.2895958
10572,-549.4124043
10573,-549.567263
10574,-549.6893205
10575,-549.8491236
10576,-549.9997346
10577,-549.8500128
10578,-550.0705431
10579,-550.2178965
10580,-550.2798691
10581,-550.3949239
10582,-550.5666314
10583,-550.9191272
10584,-550.7470446
10585,-550.9719111
10586,-550.8862336
10587,-551.0239528
10588,-551.1563934
10589,-551.3380684
10590,-551.4026127
10591,-551.4646885
10592,-551.6946824
10593,-551.7977799
10594,-551.8664118
10595,-551.9260585
10596,-552.0364646
10597,-552.1368509
10598,-552.2461919
10599,-552.4437875
10600,-552.7806755
10601,-552.6888298
10602,-552.7561711
10603,-552.8441604
10604,-552.9721046
10605,-552.9577131
10606,-553.1820345
10607,-553.3062367
10608,-553.4912219
10609,-553.4155957
10610,-553.7523784
10611,-553.7155141
10612,-553.8362377
10613,-554.0843195
10614,-554.0841036
10615,-554.1595281
10616,-554.2445768
10617,-554.5636088
10618,-554.6219537
10619,-554.5871046
10620,-554.720819
10621,-554.8011995
10622,-555.0130003
10623,-555.0285369
10624,-555.1216939
10625,-555.2626387
10626,-555.4887959
10627,-555.5290105
10628,-555.6486458
10629,-555.7363905
10630,-556.0934845
10631,-555.9566231
10632,-556.010534
10633,-556.2869763
10634,-556.3339608
10635,-556.3347742
10636,-556.4743292
10637,-556.6568256
10638,-556.7915758
10639,-556.7819846
10640,-556.9739495
10641,-557.0248672
10642,-557.4322447
10643,-557.1542719
10644,-557.45632
10645,-557.5244448
10646,-557.7317962
10647,-557.7165615
10648,-557.9797229
10649,-557.9039947
10650,-558.0033728
10651,-558.1226014
10652,-558.205106
10653,-558.411671
10654,-558.6297853
10655,-558.5645741
10656,-558.7103957
10657,-558.9270877
10658,-558.9465463
10659,-559.0566899
10660,-559.1023738
10661,-559.26418
10662,-559.3608914
10663,-559.4207974
10664,-559.6363536
10665,-559.6946828
10666,-559.8050599
10667,-559.9471519
10668,-560.0249221
10669,-560.1736793
10670,-560.1932729
10671,-560.2981056
10672,-560.5097632
10673,-560.5272997
10674,-560.658886
10675,-560.7507425
10676,-561.1810434
10677,-561.1491733
10678,-561.1673317
10679,-561.2705579
10680,-561.5023034
10681,-561.7026983
10682,-561.477457
10683,-561.7174385
10684,-561.8065214
10685,-561.8858993
10686,-561.9737215
10687,-562.1633444
